,sex.x,subject_name,YAG.x,SECTIONNAME.x,YAG.y,SECTIONNAME.y,count,qualification_TR.x
12413,F+M,"Agriculture, food and related studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"AGRICULTURE, FORESTRY AND FISHING",5,First degree
12414,F+M,"Agriculture, food and related studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"ARTS, ENTERTAINMENT AND RECREATION",5,First degree
12415,F+M,"Agriculture, food and related studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,EDUCATION,5,First degree
12416,F+M,"Agriculture, food and related studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12417,F+M,"Architecture, building and planning",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,EDUCATION,5,First degree
12418,F+M,"Architecture, building and planning",1,EDUCATION,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12419,F+M,Biosciences,1,"ARTS, ENTERTAINMENT AND RECREATION",3,EDUCATION,5,First degree
12420,F+M,Biosciences,1,INFORMATION AND COMMUNICATION,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12421,F+M,Biosciences,1,OTHER SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12422,F+M,Biosciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,OTHER SERVICE ACTIVITIES,5,First degree
12423,F+M,Business and management,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,CONSTRUCTION,5,First degree
12424,F+M,Business and management,1,"ARTS, ENTERTAINMENT AND RECREATION",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12425,F+M,Business and management,1,CONSTRUCTION,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12426,F+M,Business and management,1,EDUCATION,3,REAL ESTATE ACTIVITIES,5,First degree
12427,F+M,Business and management,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,FINANCIAL AND INSURANCE ACTIVITIES,5,First degree
12428,F+M,Business and management,1,TRANSPORTATION AND STORAGE,3,"ARTS, ENTERTAINMENT AND RECREATION",5,First degree
12429,F+M,Business and management,1,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12430,F+M,Chemistry,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,INFORMATION AND COMMUNICATION,5,First degree
12431,F+M,Chemistry,1,EDUCATION,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12432,F+M,Chemistry,1,MANUFACTURING,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12433,F+M,Combined and general studies,1,EDUCATION,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12434,F+M,Combined and general studies,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,EDUCATION,5,First degree
12435,F+M,Combined and general studies,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,EDUCATION,5,First degree
12436,F+M,Combined and general studies,1,TRANSPORTATION AND STORAGE,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12437,F+M,Computing,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,TRANSPORTATION AND STORAGE,5,First degree
12438,F+M,Computing,1,TRANSPORTATION AND STORAGE,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12439,F+M,Computing,1,TRANSPORTATION AND STORAGE,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12440,F+M,Computing,1,TRANSPORTATION AND STORAGE,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12441,F+M,Computing,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,CONSTRUCTION,5,First degree
12442,F+M,Computing,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,OTHER SERVICE ACTIVITIES,5,First degree
12443,F+M,Creative arts and design,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,OTHER SERVICE ACTIVITIES,5,First degree
12444,F+M,Creative arts and design,1,FINANCIAL AND INSURANCE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12445,F+M,Creative arts and design,1,INFORMATION AND COMMUNICATION,3,OTHER SERVICE ACTIVITIES,5,First degree
12446,F+M,Creative arts and design,1,OTHER SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12447,F+M,Creative arts and design,1,OTHER SERVICE ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",5,First degree
12448,F+M,Creative arts and design,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,TRANSPORTATION AND STORAGE,5,First degree
12449,F+M,Creative arts and design,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12450,F+M,Creative arts and design,1,REAL ESTATE ACTIVITIES,3,EDUCATION,5,First degree
12451,F+M,Education and teaching,1,OTHER SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12452,F+M,Education and teaching,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12453,F+M,Engineering,1,CONSTRUCTION,3,INFORMATION AND COMMUNICATION,5,First degree
12454,F+M,Engineering,1,MANUFACTURING,3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,First degree
12455,F+M,Engineering,1,TRANSPORTATION AND STORAGE,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12456,F+M,English studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,5,First degree
12457,F+M,English studies,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,MANUFACTURING,5,First degree
12458,F+M,English studies,1,"ARTS, ENTERTAINMENT AND RECREATION",3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12459,F+M,English studies,1,EDUCATION,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12460,F+M,English studies,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12461,F+M,English studies,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,TRANSPORTATION AND STORAGE,5,First degree
12462,F+M,"General, applied and forensic sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,EDUCATION,5,First degree
12463,F+M,"Geography, earth and environmental studies",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,TRANSPORTATION AND STORAGE,5,First degree
12464,F+M,"Geography, earth and environmental studies",1,"ARTS, ENTERTAINMENT AND RECREATION",3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12465,F+M,"Geography, earth and environmental studies",1,INFORMATION AND COMMUNICATION,3,FINANCIAL AND INSURANCE ACTIVITIES,5,First degree
12466,F+M,"Geography, earth and environmental studies",1,MANUFACTURING,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12467,F+M,"Geography, earth and environmental studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12468,F+M,"Geography, earth and environmental studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,CONSTRUCTION,5,First degree
12469,F+M,"Geography, earth and environmental studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,OTHER SERVICE ACTIVITIES,5,First degree
12470,F+M,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,OTHER SERVICE ACTIVITIES,5,First degree
12471,F+M,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,TRANSPORTATION AND STORAGE,5,First degree
12472,F+M,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12473,F+M,Health and social care,1,OTHER SERVICE ACTIVITIES,3,EDUCATION,5,First degree
12474,F+M,History and archaeology,1,"ARTS, ENTERTAINMENT AND RECREATION",3,INFORMATION AND COMMUNICATION,5,First degree
12475,F+M,History and archaeology,1,"ARTS, ENTERTAINMENT AND RECREATION",3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12476,F+M,History and archaeology,1,MANUFACTURING,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12477,F+M,History and archaeology,1,OTHER SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12478,F+M,Languages and area studies,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12479,F+M,Languages and area studies,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,EDUCATION,5,First degree
12480,F+M,Law,1,FINANCIAL AND INSURANCE ACTIVITIES,3,EDUCATION,5,First degree
12481,F+M,Law,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12482,F+M,Law,1,MANUFACTURING,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12483,F+M,Law,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12484,F+M,Law,1,REAL ESTATE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12485,F+M,Law,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,MANUFACTURING,5,First degree
12486,F+M,Materials and technology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,INFORMATION AND COMMUNICATION,5,First degree
12487,F+M,Mathematical sciences,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,TRANSPORTATION AND STORAGE,5,First degree
12488,F+M,"Media, journalism and communications",1,"ARTS, ENTERTAINMENT AND RECREATION",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12489,F+M,"Media, journalism and communications",1,INFORMATION AND COMMUNICATION,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12490,F+M,"Media, journalism and communications",1,MANUFACTURING,3,EDUCATION,5,First degree
12491,F+M,"Media, journalism and communications",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,CONSTRUCTION,5,First degree
12492,F+M,"Media, journalism and communications",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,REAL ESTATE ACTIVITIES,5,First degree
12493,F+M,Medical sciences,1,EDUCATION,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12494,F+M,Medical sciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12495,F+M,Nursing and midwifery,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,MANUFACTURING,5,First degree
12496,F+M,Nursing and midwifery,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,OTHER SERVICE ACTIVITIES,5,First degree
12497,F+M,Nursing and midwifery,1,TRANSPORTATION AND STORAGE,3,TRANSPORTATION AND STORAGE,5,First degree
12498,F+M,Performing arts,1,"AGRICULTURE, FORESTRY AND FISHING",3,"AGRICULTURE, FORESTRY AND FISHING",5,First degree
12499,F+M,Performing arts,1,"ARTS, ENTERTAINMENT AND RECREATION",3,FINANCIAL AND INSURANCE ACTIVITIES,5,First degree
12500,F+M,Performing arts,1,EDUCATION,3,MANUFACTURING,5,First degree
12501,F+M,Performing arts,1,FINANCIAL AND INSURANCE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12502,F+M,Performing arts,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,INFORMATION AND COMMUNICATION,5,First degree
12503,F+M,Performing arts,1,REAL ESTATE ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",5,First degree
12504,F+M,Performing arts,1,REAL ESTATE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12505,F+M,Performing arts,1,TRANSPORTATION AND STORAGE,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12506,F+M,"Pharmacology, toxicology and pharmacy",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12507,F+M,Philosophy and religious studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12508,F+M,Philosophy and religious studies,1,EDUCATION,3,OTHER SERVICE ACTIVITIES,5,First degree
12509,F+M,Philosophy and religious studies,1,MANUFACTURING,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12510,F+M,Philosophy and religious studies,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12511,F+M,Physics and astronomy,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,5,First degree
12512,F+M,Physics and astronomy,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,MANUFACTURING,5,First degree
12513,F+M,Politics,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12514,F+M,Politics,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12515,F+M,Psychology,1,FINANCIAL AND INSURANCE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12516,F+M,Psychology,1,TRANSPORTATION AND STORAGE,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12517,F+M,Psychology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,REAL ESTATE ACTIVITIES,5,First degree
12518,F+M,"Sociology, social policy and anthropology",1,FINANCIAL AND INSURANCE ACTIVITIES,3,EDUCATION,5,First degree
12519,F+M,"Sociology, social policy and anthropology",1,FINANCIAL AND INSURANCE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12520,F+M,"Sociology, social policy and anthropology",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,TRANSPORTATION AND STORAGE,5,First degree
12521,F+M,"Sociology, social policy and anthropology",1,OTHER SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12522,F+M,"Sociology, social policy and anthropology",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12523,F+M,"Sociology, social policy and anthropology",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,First degree
12524,F+M,"Sociology, social policy and anthropology",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,OTHER SERVICE ACTIVITIES,5,First degree
12525,F+M,Sport and exercise sciences,1,"ARTS, ENTERTAINMENT AND RECREATION",3,REAL ESTATE ACTIVITIES,5,First degree
12526,F+M,Sport and exercise sciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12527,F+M,Sport and exercise sciences,1,INFORMATION AND COMMUNICATION,3,"ARTS, ENTERTAINMENT AND RECREATION",5,First degree
12528,F+M,Sport and exercise sciences,1,TRANSPORTATION AND STORAGE,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12529,F+M,Sport and exercise sciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,CONSTRUCTION,5,First degree
12530,F+M,Sport and exercise sciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,REAL ESTATE ACTIVITIES,5,First degree
12531,F+M,Performing arts,1,EDUCATION,3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,5,First degree
12532,F+M,Performing arts,1,OTHER SERVICE ACTIVITIES,3,EDUCATION,5,First degree
12533,F+M,Psychology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,REAL ESTATE ACTIVITIES,5,First degree
12534,F+M,Psychology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12535,F+M,"General, applied and forensic sciences",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12536,F+M,Politics,1,INFORMATION AND COMMUNICATION,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12537,F+M,Allied health,1,MANUFACTURING,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12538,F+M,English studies,1,OTHER SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12539,F+M,"General, applied and forensic sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12540,F+M,"General, applied and forensic sciences",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12541,F+M,Materials and technology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12542,F+M,Mathematical sciences,1,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,First degree
12543,F+M,"Media, journalism and communications",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,First degree
12544,F+M,"Pharmacology, toxicology and pharmacy",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12545,F+M,Philosophy and religious studies,1,EDUCATION,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12546,F+M,Philosophy and religious studies,1,INFORMATION AND COMMUNICATION,3,FINANCIAL AND INSURANCE ACTIVITIES,5,First degree
12547,F+M,Physics and astronomy,1,INFORMATION AND COMMUNICATION,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12548,F+M,Psychology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,REAL ESTATE ACTIVITIES,5,First degree
12549,F+M,Engineering,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,CONSTRUCTION,5,First degree
12550,F+M,"Sociology, social policy and anthropology",1,"ARTS, ENTERTAINMENT AND RECREATION",3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5,First degree
12551,F+M,Mathematical sciences,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12552,F+M,Business and management,1,TRANSPORTATION AND STORAGE,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12553,F+M,English studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,MANUFACTURING,5,First degree
12554,F+M,English studies,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,REAL ESTATE ACTIVITIES,5,First degree
12555,F+M,"Media, journalism and communications",1,TRANSPORTATION AND STORAGE,3,INFORMATION AND COMMUNICATION,5,First degree
12556,F+M,"Sociology, social policy and anthropology",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,REAL ESTATE ACTIVITIES,5,First degree
12557,F+M,Sport and exercise sciences,1,"AGRICULTURE, FORESTRY AND FISHING",3,"AGRICULTURE, FORESTRY AND FISHING",5,First degree
12558,F+M,Languages and area studies,1,FINANCIAL AND INSURANCE ACTIVITIES,3,INFORMATION AND COMMUNICATION,5,First degree
12559,F+M,Performing arts,1,FINANCIAL AND INSURANCE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12560,F+M,Psychology,1,TRANSPORTATION AND STORAGE,3,INFORMATION AND COMMUNICATION,5,First degree
12561,F+M,Allied health,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,MANUFACTURING,5,First degree
12562,F+M,Engineering,1,CONSTRUCTION,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12563,F+M,"Geography, earth and environmental studies",1,TRANSPORTATION AND STORAGE,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12564,F+M,Law,1,REAL ESTATE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12565,F+M,Materials and technology,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,5,First degree
12566,F+M,Performing arts,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12567,F+M,Politics,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12568,F+M,Psychology,1,INFORMATION AND COMMUNICATION,3,EDUCATION,5,First degree
12569,F+M,Psychology,1,OTHER SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12570,F+M,Sport and exercise sciences,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,First degree
12571,F+M,Sport and exercise sciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,FINANCIAL AND INSURANCE ACTIVITIES,5,First degree
12572,F+M,Allied health,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12573,F+M,Chemistry,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,First degree
12574,F+M,"General, applied and forensic sciences",1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",5,First degree
12575,F+M,"General, applied and forensic sciences",1,INFORMATION AND COMMUNICATION,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,5,First degree
12576,F+M,"General, applied and forensic sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,5,First degree
12577,F+M,Materials and technology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,MANUFACTURING,5,First degree
12578,F+M,Materials and technology,1,MANUFACTURING,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5,First degree
12579,F+M,Performing arts,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,MANUFACTURING,5,First degree
12580,F+M,Law,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,OTHER SERVICE ACTIVITIES,5,First degree
12581,F+M,Politics,1,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,First degree
12582,F+M,"Agriculture, food and related studies",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12583,F+M,"Agriculture, food and related studies",1,MANUFACTURING,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,5,First degree
12584,F+M,"Agriculture, food and related studies",1,MANUFACTURING,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,First degree
12585,F+M,"Architecture, building and planning",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,5,First degree
